# Dear prospective user. The following is a sample data file
# that you can submit to the poprep.tzv.fal.de webservice to
# demonstrate, how it can be used.
#
# The pedigree file needs to have five columns:
# 1. animal ID - treated as character string
# 2. sire ID   - treated as character string
# 3. dam ID    - treated as character string
# 4. birthdate - animal's birthdate (a number of
#                formats are handled (see website)
# 5. sex       - animal's sex: choose your own coding
#                1 - male; 2 - female or m/f
# The columns are separated by the pipe sign: |
#
# Regarding base animals, you have two options:
# 1. list them explictitly as shown here:
#    79950|75900|4500865|1952-03-04|M
#    4500865|unknown_sire|unknown_dam|1950-03-24|F
# 2. no need to list them at all; then sires and dams
#    that do not have an animal record of their own are
#    considered base animals:
#    79950|75900|4500865|1952-03-04|M
#    No animal record for 4500865 in the pedigree file. We will create an
#    appropriate one for you.
#
# You can run this pedigree file as is (# comments are ignored) by
# submitting this file to poprep.tzv.fal.de
#
# Enjoy! EG
# -----------------------------------------------------------
42486011|394891|21459956|1997-12-08|M
240990|183079|265036|1965-02-19|M
42486052|399580|7867214|1998-03-20|F
41767772|393934|21232730|1997-02-26|M
48111796|413521|42486042|2005-02-18|F
20558346|501234|20146803|1987-03-01|F
7265353|450735|5171890|1977-10-01|F
48111643|413526|44198335|2003-12-15|M
48111729|unknown_sire|unknown_dam|2004-08-29|F
5215419|501020|4500230|1976-10-22|F
21546403|394856|21132628|1995-02-18|F
48111705|413526|42440084|2004-05-23|F
8539205|450456|6241732|1978-10-05|F
7867278|557418|7455298|1991-09-15|F
41767753|399578|8421130|1997-01-24|M
8271256|541008|7756329|1992-12-23|F
8185537|501216|8523840|1980-09-28|F
48111616|397025|40447327|2003-09-23|F
21231856|391879|7867213|1993-09-14|F
7756314|314478|7455308|1988-12-12|F
399577|313692|21004991|1994-02-24|M
44198259|397032|40447377|1999-10-22|F
46488581|394855|44198200|2003-04-13|M
45858159|396291|42440113|2001-11-18|F
81153|1100|27422|1958-01-14|F
21231866|16590|21005271|1993-10-29|F
44198322|399580|40447327|2000-02-11|F
21337198|394196|20893676|1995-01-10|F
541008|183079|397143|1962-03-08|M
48111621|414262|44198330|2003-10-03|M
8271487|501222|8539547|1981-09-25|F
20146030|501243|8539457|1983-02-09|F
2362045|450001|820144|1968-02-07|F
501226|123448|7477003|1978-12-13|M
48111777|399582|42440072|2004-12-29|F
5115361|537270|195906|1968-03-08|F
44198258|393934|41767731|1999-10-22|M
51419465|394855|45858116|2007-12-14|M
505261|17880|119724|1956-01-28|M
48859286|815792|45858058|2006-05-30|F
46488502|394856|42440072|2002-11-01|M
414743|240046|7867238|1996-02-14|M
48859205|815776|42486041|2005-08-23|F
772571|183079|8415959|1969-02-07|M
45858092|393934|21232730|2001-04-25|M
48859183|393142|45858071|2005-05-08|M
8271282|391883|7455308|1993-03-20|F
21546404|500006|7867286|1995-03-06|F
42440166|397032|40447374|1999-01-26|F
383558|12507|7107046|1983-09-15|M
64138|57784|607574|1962-12-22|M
48111695|394856|42440113|2004-03-31|F
6621715|501052|5215429|1980-12-22|F
394434|383558|7756340|1991-11-17|M
44198273|393934|41767755|1999-11-10|F
397933|772451|7756365|1994-10-24|M
48111655|393142|44198277|2004-01-10|M
41767788|391869|7867299|1997-03-14|F
314478|451170|1144586|1973-10-01|M
394888|105499|20557852|1991-12-20|M
41767821|391869|8858909|1997-11-14|F
42440094|397036|40447337|1998-11-09|M
46488553|414262|42486004|2003-01-15|M
48111612|397029|45858020|2003-09-14|F
610048|44461|493655|1964-03-06|F
5707796|105499|6621792|1984-11-02|F
7455210|501200|7167410|1986-10-18|F
20767261|314478|20558345|1989-11-10|F
391883|383558|20353309|1990-01-22|M
40447344|394196|21232605|1996-03-14|F
397029|16590|21004319|1993-09-07|M
501250|132355|462272|1983-10-20|M
48111760|413521|46488416|2004-10-28|M
397022|391879|7867257|1993-12-14|M
2482549|450039|unknown_dam|1968-12-13|F
21233317|501250|20146855|1993-09-09|F
537270|35055|376406|1959-03-16|M
48111662|413526|44198295|2004-01-26|F
7756447|501200|7455340|1989-09-11|F
6974841|501203|5215386|1983-11-05|F
21546418|394888|21004504|1995-04-02|F
42440085|395685|40447370|1998-11-03|F
7455236|500807|6621741|1987-01-02|F
7756468|311920|7167557|1989-12-22|F
48859174|unknown_sire|44198333|2005-04-16|M
51419425|414261|48111605|2007-07-28|M
410820|67500|370430|1950-03-04|F
42486062|395685|8271278|1998-07-02|F
7167465|119543|6621780|1985-11-26|F
337357|48291|455870|1960-11-10|M
21003730|310493|20683009|1990-11-20|F
42440136|396291|40197295|1998-12-17|M
7455224|501200|6974885|1986-11-17|F
44198364|399580|41767743|2000-04-14|F
21337200|394196|21003785|1995-01-11|F
108962|451170|537677|1970-01-10|M
21231862|391873|20893672|1993-09-25|F
5215476|501032|6893878|1977-11-12|F
999916590|87839|450181|1958-02-17|F
7455320|501234|6974748|1986-12-31|F
21005307|941707|63937701|1987-11-12|F
46488510|394855|44198364|2002-11-13|M
41767734|391873|21337017|1996-12-08|F
8221131|501203|8539205|1980-10-24|F
78100|73425|376486|1953-04-15|M
51419412|414261|46488584|2007-06-15|M
40447336|310493|21004322|1996-02-26|F
500803|34211|200951|1979-01-07|M
21546023|313692|21005306|1995-04-02|F
48859243|815776|46488514|2005-12-29|F
48859267|815768|48111609|2006-04-11|M
399579|393931|7756340|1994-03-11|M
5203481|199512|1117289|1974-04-03|F
45858032|396291|7867278|2000-11-18|F
85198|82000|380320|1957-03-14|M
46488493|394855|44198277|2002-10-03|M
8539968|108281|7210578|1979-10-29|F
21004322|501228|20558508|1991-03-17|F
42486029|395685|8271272|1998-01-28|F
51419458|397033|48111795|2007-11-29|M
48859352|815772|46488547|2007-03-27|F
5863440|501186|5215327|1979-09-25|F
48111792|413520|44198285|2005-02-15|M
397033|501229|20146033|1993-09-11|M
552949|501043|5123201|1980-08-27|M
46488434|394851|41767757|2002-03-04|M
45858129|396291|42440150|2001-08-28|M
8539828|501157|5203420|1979-03-03|F
45858125|393934|42440166|2001-08-20|F
42486095|393142|44198360|2003-12-07|F
413518|394856|8271256|1995-03-02|M
40447310|501234|21233265|1995-11-28|F
87450|82146|376486|1959-01-01|M
33871|32199|282341|1955-12-02|M
21459813|393931|20422542|1994-07-13|F
85773|76800|423879|1957-11-16|M
413528|394196|7167557|1995-03-26|M
13900|13841|63201|1960-03-29|M
391888|552949|5707796|1989-11-05|M
40119|53834|556548|1962-02-22|M
7455369|501215|6621694|1987-12-28|F
